,cost,distance,dropoff_latitude,dropoff_longitude,passengers,pickup_latitude,pickup_longitude,store_forward,vendor,pickup_weekday,pickup_month,pickup_monthday,pickup_hour,pickup_minute,pickup_second,dropoff_weekday,dropoff_month,dropoff_monthday,dropoff_hour,dropoff_minute,dropoff_second
183,15.5,4,40.71337891,-74.01100159,1,40.7527504,-73.98542786,0,2,3,1,7,23,2,0,3,1,7,23,20,52
184,8,1.1,40.73411179,-74.00291443,1,40.72764969,-73.98518372,0,1,4,1,22,21,30,37,4,1,22,21,41,20
185,13.5,3.44,40.74945068,-73.98079681,1,40.77706909,-73.9523468,0,2,2,1,20,20,59,10,2,1,20,21,12,8
186,21.5,5.7,40.68357086,-73.99748993,1,40.7513237,-73.99079132,0,1,4,1,22,23,24,51,4,1,22,23,53,46
187,10,1.83,40.76440811,-73.98258209,1,40.74578857,-73.99363708,0,2,6,1,17,16,13,15,6,1,17,16,26,16
188,4.5,0.5,40.7493782,-73.8875885,1,40.74704742,-73.89192963,0,1,1,1,5,9,2,54,1,1,5,9,6,49
189,52,22.12,40.7783699,-73.97869873,1,40.64469147,-73.7818985,0,2,4,1,29,23,23,23,4,1,29,23,57,14
190,26.5,6.1,40.7019043,-74.01041412,1,40.76631546,-73.9569397,0,1,3,1,14,9,34,9,3,1,14,10,1,24
191,9,1.8,40.77363205,-73.94981384,1,40.76010895,-73.9696579,0,1,3,1,7,19,6,48,3,1,7,19,17,36
192,7,1.08,40.77962112,-73.98432159,1,40.79043579,-73.97490692,0,2,2,1,6,13,55,43,2,1,6,14,3,12
193,15.5,2.3,40.71328735,-74.00457001,1,40.74152756,-74.0047226,0,1,3,1,21,10,38,21,3,1,21,11,1,54
194,8.5,1.46,40.78908157,-73.97411346,1,40.77651215,-73.98960114,0,2,5,1,30,11,15,41,5,1,30,11,25,16
195,11,1.91,40.76512146,-73.96843719,2,40.78268814,-73.94824982,0,2,3,1,14,12,50,4,3,1,14,13,4,56
196,13,3.35,40.75291824,-73.97411346,2,40.72576141,-74.00684357,0,2,5,1,16,2,29,8,5,1,16,2,43,51
197,8.5,1.9,40.69862366,-73.93831635,1,40.68315887,-73.95388031,0,1,2,1,13,13,10,52,2,1,13,13,19,27
198,6.5,1.3,40.74892426,-73.99101257,2,40.7348671,-73.98993683,0,1,4,1,1,12,52,29,4,1,1,12,57,59
